ads_id;ads_street_name;ads_number;ads_neighborhood;ads_city;ads_state
1;Donald;378;Kentucky;Louisville;Massachusetts
2;Cascade;155;Florida;Jacksonville;Texas
3;Jana;883;Ohio;Akron;Utah
4;Pennsylvania;207;Wisconsin;Madison;Maryland
5;Lawn;86;Iowa;Des Moines;Virginia
6;Mosinee;457;California;Richmond;District of Columbia
7;Fair Oaks;699;California;Torrance;Virginia
8;Bonner;474;Texas;El Paso;North Dakota
9;Main;549;California;San Diego;Idaho
10;Lawn;221;New York;Rochester;Florida
11;Transport;714;Florida;Fort Lauderdale;North Carolina
12;Springs;714;Oklahoma;Tulsa;Tennessee
13;Continental;868;District of Columbia;Washington;California
14;Vidon;74;Washington;Spokane;Hawaii
15;Bowman;587;Florida;Jacksonville;Texas
16;Sunfield;331;California;Irvine;California
17;Straubel;712;Ohio;Cleveland;Texas
18;Armistice;185;Michigan;Grand Rapids;Texas
19;Fair Oaks;471;California;Irvine;Iowa
20;Village;298;Oregon;Beaverton;Texas
21;Lakewood Gardens;426;Virginia;Herndon;Missouri
22;Raven;74;Oklahoma;Oklahoma City;North Carolina
23;Florence;444;Missouri;Saint Louis;Oregon
24;Ronald Regan;762;California;Los Angeles;Michigan
25;Farmco;614;Florida;Miami Beach;West Virginia
26;Anniversary;394;Texas;Tyler;Florida
27;Mockingbird;860;Texas;Dallas;Idaho
28;Nancy;559;Connecticut;Waterbury;New York
29;Pond;539;Kentucky;Lexington;California
30;Susan;620;Tennessee;Nashville;Tennessee
31;Reinke;496;Connecticut;Danbury;Virginia
32;Dexter;712;Pennsylvania;Philadelphia;Texas
33;Hoepker;322;Texas;El Paso;Minnesota
34;Packers;984;Colorado;Fort Collins;Iowa
35;Veith;433;Washington;Seattle;Illinois
36;Oneill;132;Tennessee;Memphis;Ohio
37;Walton;96;Kentucky;Louisville;District of Columbia
38;Elmside;250;Connecticut;Hartford;California
39;High Crossing;10;Virginia;Roanoke;California
40;Blackbird;269;Florida;Miami;New York
41;Grim;312;Alabama;Birmingham;Ohio
42;Schlimgen;814;California;Berkeley;California
43;East;156;California;San Jose;Oklahoma
44;Browning;651;Pennsylvania;Erie;California
45;Mallard;507;Georgia;Columbus;Colorado
46;East;292;New York;Albany;Kansas
47;Mayer;439;Virginia;Norfolk;Texas
48;Sunfield;219;Montana;Billings;Florida
49;Prentice;505;Pennsylvania;Pittsburgh;Florida
50;Scofield;825;North Carolina;Raleigh;Texas
51;Pond;873;Texas;San Antonio;Texas
52;Forest Run;884;Texas;Conroe;Louisiana
53;Dixon;181;Alabama;Anniston;Nebraska
54;Trailsway;755;Iowa;Des Moines;North Carolina
55;Lillian;428;Florida;Pensacola;New York
56;Northfield;351;Mississippi;Jackson;Louisiana
57;Sutherland;366;Ohio;Springfield;Tennessee
58;Mallory;254;California;San Diego;Georgia
59;Raven;595;Texas;El Paso;New Jersey
60;Merry;309;Florida;Orlando;Ohio
61;Blaine;103;Idaho;Idaho Falls;Pennsylvania
62;Pierstorff;435;California;Sacramento;South Carolina
63;Stephen;553;Missouri;Saint Louis;Texas
64;Autumn Leaf;754;District of Columbia;Washington;Texas
65;Maywood;539;Florida;Boynton Beach;Texas
66;Westerfield;33;Washington;Seattle;Washington
67;Cambridge;150;Virginia;Roanoke;California
68;Prairie Rose;86;Florida;Sarasota;California
69;Lakewood;817;California;San Jose;Illinois
70;Jenifer;351;Georgia;Duluth;Iowa
71;Wayridge;756;Texas;Dallas;Arizona
72;Clyde Gallagher;361;Texas;Fort Worth;Virginia
73;Stone Corner;224;Nebraska;Lincoln;Wisconsin
74;Jana;718;Connecticut;Bridgeport;Mississippi
75;Golf;523;Texas;El Paso;New York
76;Division;513;Florida;Naples;Florida
77;Loomis;364;Pennsylvania;Philadelphia;South Carolina
78;Moulton;540;Colorado;Denver;Alabama
79;Mayer;473;South Carolina;Aiken;Oklahoma
80;Roxbury;387;Colorado;Denver;District of Columbia
81;Chive;212;Minnesota;Saint Cloud;Indiana
82;Arizona;501;Georgia;Columbus;Texas
83;Pleasure;323;New Jersey;Trenton;Minnesota
84;Manley;692;Florida;Seminole;Virginia
85;Green Ridge;919;Tennessee;Memphis;Georgia
86;Montana;877;Kentucky;Louisville;California
87;Mcbride;746;Virginia;Arlington;Nevada
88;Drewry;925;Nebraska;Omaha;North Carolina
89;Ridge Oak;75;Florida;Cape Coral;Colorado
90;Brown;407;Florida;Miami;Texas
91;Spaight;91;Florida;Pensacola;Virginia
92;Farragut;51;California;Sacramento;Kansas
93;Roth;998;West Virginia;Charleston;Florida
94;Rusk;510;Nevada;Sparks;New York
95;Golf View;443;North Carolina;Wilmington;California
96;Linden;455;Georgia;Atlanta;Georgia
97;Banding;447;Arizona;Phoenix;Connecticut
98;Dennis;915;Arizona;Phoenix;North Carolina
99;Nancy;21;New Mexico;Santa Fe;Kansas
100;Banding;512;Texas;Houston;Utah
101;Clyde Gallagher;780;North Carolina;Charlotte;California
102;Fisk;282;Pennsylvania;Harrisburg;Florida
103;Anhalt;656;Arkansas;Little Rock;Mississippi
104;Dunning;881;California;Corona;Missouri
105;Forster;591;California;San Diego;New Hampshire
106;Washington;580;Arkansas;Fort Smith;California
107;Nancy;309;Tennessee;Knoxville;Illinois
108;Veith;347;Ohio;Columbus;Illinois
109;Marquette;981;Wisconsin;Madison;Minnesota
110;Memorial;572;Texas;Dallas;District of Columbia
111;Westend;200;Arizona;Scottsdale;Delaware
112;Pearson;663;California;Sacramento;Arizona
113;Kropf;40;South Carolina;Charleston;Texas
114;Buell;384;Georgia;Albany;California
115;Scott;125;South Carolina;Greenville;Maryland
116;Sunnyside;715;California;Sacramento;Washington
117;Pepper Wood;968;Indiana;Evansville;Oklahoma
118;Independence;5;District of Columbia;Washington;Virginia
119;Gina;353;California;Sacramento;Idaho
120;Golf View;966;California;Northridge;New Jersey
121;Holmberg;45;Texas;Huntsville;Iowa
122;Morning;812;New York;New York City;Pennsylvania
