cli_id;cli_name;cli_cpf;ads_id
1;1;320-58-3665;269
2;2;562-63-3412;291
3;3;393-40-5122;216
4;4;516-36-7689;295
5;5;218-47-8185;34
6;6;197-88-5409;293
7;7;507-87-3215;91
8;8;212-81-5089;202
9;9;105-24-6981;229
10;10;467-27-7591;126
11;11;527-64-1029;236
12;12;454-97-9816;241
13;13;882-23-3453;184
14;14;755-63-3379;147
15;15;855-19-9204;90
16;16;392-66-7242;230
17;17;878-17-2267;264
18;18;829-51-9297;70
19;19;404-90-0485;296
20;20;749-66-9377;71
21;21;740-63-2227;172
22;22;718-01-8545;42
23;23;442-15-8556;17
24;24;884-07-0471;38
25;25;802-31-4508;125
26;26;215-38-4055;97
27;27;693-76-1790;151
28;28;359-01-7231;213
29;29;863-44-0382;72
30;30;676-32-5333;150
31;31;890-12-7815;285
32;32;412-83-2968;195
33;33;590-72-6453;163
34;34;848-10-2428;162
35;35;365-89-1444;244
36;36;204-03-0337;231
37;37;408-45-1287;151
38;38;823-41-8302;292
39;39;835-05-0375;140
40;40;760-49-1469;154
41;41;171-88-6715;295
42;42;592-93-6193;223
43;43;120-64-1092;72
44;44;648-81-2608;18
45;45;124-40-7353;163
46;46;854-99-2738;181
47;47;290-27-7347;19
48;48;210-88-6399;107
49;49;682-54-5763;194
50;50;272-71-1563;166
51;51;360-27-0176;297
52;52;334-19-8023;132
53;53;836-03-9362;15
54;54;160-58-5173;150
55;55;832-40-4255;172
56;56;378-10-3339;199
57;57;733-20-1673;208
58;58;260-31-3685;276
59;59;400-86-2144;239
60;60;725-05-1160;66
61;61;653-67-1581;115
62;62;312-38-7051;238
63;63;162-11-2511;153
64;64;231-52-4421;89
65;65;607-09-1127;187
66;66;102-53-6395;273
67;67;492-39-5373;230
68;68;568-27-6711;282
69;69;683-44-6169;120
70;70;571-87-4893;159
71;71;160-15-3059;298
72;72;492-90-7126;279
73;73;675-49-9776;34
74;74;745-25-4071;165
75;75;434-51-8021;118
76;76;725-44-5294;173
77;77;464-19-6127;126
78;78;322-07-7894;83
79;79;650-65-3453;121
80;80;228-01-6032;206
81;81;113-82-9697;120
82;82;309-77-3684;190
83;83;688-84-8361;242
84;84;497-99-0726;134
85;85;618-59-4144;131
86;86;433-49-8975;35
87;87;486-07-5685;85
88;88;675-39-6276;72
89;89;644-16-9212;70
90;90;606-97-1563;233
91;91;827-93-9555;90
92;92;231-45-2868;293
93;93;295-85-0907;276
94;94;354-40-6638;249
95;95;516-85-9739;278
96;96;678-14-3475;261
97;97;802-56-5020;284
98;98;284-83-4219;17
99;99;495-69-3730;67
100;100;354-22-4965;268
101;101;593-69-7173;59
102;102;505-78-7821;240
103;103;669-51-1044;245
104;104;674-76-3618;49
105;105;854-79-0790;194
106;106;799-17-8004;90
107;107;157-46-1134;67
108;108;467-99-7090;172
109;109;258-95-4579;49
110;110;815-91-9281;123
111;111;547-17-4537;247
112;112;374-35-6252;255
113;113;539-49-6223;276
114;114;419-92-1386;135
115;115;248-19-7014;140
116;116;610-97-4680;271
117;117;216-54-7537;283
118;118;334-99-0901;223
119;119;651-83-4110;24
120;120;875-63-1677;44
121;121;775-91-6125;298
122;122;851-94-8846;31
123;123;533-87-7917;79
124;124;323-05-4271;212
125;125;825-03-4615;254
126;126;226-50-8989;44
127;127;829-73-1521;245
128;128;321-13-3741;66
129;129;317-98-3385;300
130;130;337-76-4629;283
131;131;375-29-7191;84
132;132;724-04-5256;185
133;133;739-87-8157;162
134;134;331-50-1975;100
135;135;487-96-8013;151
136;136;326-74-0320;74
137;137;307-06-8816;293
138;138;760-92-7768;248
139;139;197-83-0582;284
140;140;565-27-4298;138
141;141;470-36-5528;127
142;142;594-66-2040;126
143;143;540-91-5458;191
144;144;375-93-8330;99
145;145;488-38-3064;72
146;146;329-27-0943;38
147;147;483-70-3793;152
148;148;341-83-1002;145
149;149;871-83-0114;36
150;150;203-70-5933;187
